DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
20-Feb-2026,EQ,"258.10","260.75","257.55","258.60","258.50","258.60","259.69","338.60","198.65",11215176,"2,91,24,82,200.30",56546
19-Feb-2026,EQ,"264.10","265.55","257.35","264.10","257.90","258.60","260.59","338.60","198.65",8482281,"2,21,04,16,880.00",82242
18-Feb-2026,EQ,"263.00","264.50","261.75","262.30","263.90","264.10","263.45","338.60","198.65",9451007,"2,48,98,84,723.15",61473
17-Feb-2026,EQ,"262.40","264.20","260.90","262.55","261.80","262.30","262.58","338.60","198.65",7407032,"1,94,49,23,783.45",58510
16-Feb-2026,EQ,"262.05","263.25","259.55","263.95","262.60","262.55","261.38","338.60","198.65",13826571,"3,61,40,50,579.35",74568
13-Feb-2026,EQ,"265.00","267.25","262.85","267.55","263.85","263.95","264.52","338.60","198.65",12222314,"3,23,30,71,014.85",85903
12-Feb-2026,EQ,"270.00","270.10","266.70","270.30","267.75","267.55","267.90","338.60","198.65",8681589,"2,32,57,63,982.40",105964
11-Feb-2026,EQ,"271.00","271.60","268.30","270.20","270.20","270.30","269.96","338.60","198.65",6544008,"1,76,66,14,176.95",62203
10-Feb-2026,EQ,"270.00","274.35","269.00","269.25","270.60","270.20","272.21","338.60","198.65",12632673,"3,43,87,00,712.95",92548
09-Feb-2026,EQ,"270.55","271.40","268.75","268.10","269.00","269.25","269.97","338.60","198.65",8211716,"2,21,69,25,398.35",78132
06-Feb-2026,EQ,"269.95","270.40","266.50","269.95","268.00","268.10","268.20","338.60","198.65",8939766,"2,39,76,15,766.95",77061
05-Feb-2026,EQ,"268.10","271.65","267.50","268.00","269.95","269.95","269.52","338.60","198.65",15768740,"4,25,00,39,063.30",95097
04-Feb-2026,EQ,"265.00","269.90","263.95","263.90","267.85","268.00","267.63","338.60","198.65",14556924,"3,89,58,25,841.30",112454
03-Feb-2026,EQ,"260.05","267.00","256.95","244.10","264.00","263.90","262.67","338.60","198.65",40223294,"10,56,53,26,503.90",267213
02-Feb-2026,EQ,"242.40","245.30","237.00","242.30","245.15","244.10","241.15","338.60","198.65",17248818,"4,15,96,35,315.70",145257
01-Feb-2026,EQ,"253.60","255.25","238.40","254.50","242.40","242.30","247.41","338.60","198.65",13896954,"3,43,81,82,828.20",138189
30-Jan-2026,EQ,"253.00","257.60","249.55","254.50","254.00","254.50","254.12","338.60","198.65",13448707,"3,41,76,46,480.00",99666
29-Jan-2026,EQ,"255.80","256.85","252.45","255.20","254.50","254.50","254.44","338.60","198.65",12165356,"3,09,54,02,626.15",77333
28-Jan-2026,EQ,"257.85","258.40","253.00","256.05","256.05","255.20","255.25","338.60","198.65",19034680,"4,85,85,35,550.70",143920
27-Jan-2026,EQ,"253.80","257.50","250.20","252.90","257.15","256.05","253.49","338.60","198.65",14773866,"3,74,49,77,782.35",128221
23-Jan-2026,EQ,"264.00","266.25","252.25","262.60","253.20","252.90","257.14","338.60","198.65",14857605,"3,82,05,36,420.75",129766
22-Jan-2026,EQ,"267.00","268.15","259.75","263.25","263.60","262.60","263.81","338.60","198.65",12282969,"3,24,03,97,589.40",106281
21-Jan-2026,EQ,"265.30","269.20","262.50","265.50","263.50","263.25","265.04","338.60","198.65",19266179,"5,10,63,16,451.90",140840
20-Jan-2026,EQ,"275.10","276.45","263.20","275.65","265.40","265.50","269.72","338.60","198.65",18750739,"5,05,75,25,773.45",165457
